id,title,company,location,time_posted,job_url,date_found,ai_score,is_applied
911,AI Engineer (Agentic AI/Multi-Agent Systems),Amaris Consulting,Ho Chi Minh City Metropolitan Area,N/A,https://www.linkedin.com/jobs/view/ai-engineer-agentic-ai-multi-agent-systems-at-amaris-consulting-4428106842?position=1&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=F0xJ0VaA%2Fcl7FhJ7Y0RxnQ%3D%3D,2026-06-13 05:25:53,0.501,0
912,AI/ML Engineer,Renesas Electronics,"Ho Chi Minh City, Vietnam",2 days ago,https://www.linkedin.com/jobs/view/ai-ml-engineer-at-renesas-electronics-4426185733?position=2&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=%2B5FEGbeeC%2B8Te1qwwIaqxA%3D%3D,2026-06-13 05:25:53,0.3869,0
913,AI SOLUTIONS ENGINEER – GENERATIVE AI,TC Data,Ho Chi Minh City Metropolitan Area,9 months ago,https://www.linkedin.com/jobs/view/ai-solutions-engineer-%E2%80%93-generative-ai-at-tc-data-4295552734?position=3&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=KRjFqBf%2B2nWdjR89wM%2BrKA%3D%3D,2026-06-13 05:25:53,0.4579,0
914,"AI Engineering, Specialist",AIA Vietnam,"Ho Chi Minh City, Vietnam",3 days ago,https://www.linkedin.com/jobs/view/ai-engineering-specialist-at-aia-vietnam-4425585787?position=4&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=Ec8%2BFBb%2BqjX7DQniR1T%2BMA%3D%3D,2026-06-13 05:25:53,0.4321,0
915,Deep Learning Algorithms Engineer - ACOT,NVIDIA,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 day ago,https://www.linkedin.com/jobs/view/deep-learning-algorithms-engineer-acot-at-nvidia-4395471700?position=5&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=OyIcYRJBhZCs%2FNHFtRgktA%3D%3D,2026-06-13 05:25:53,0.4401,0
916,AI Engineer,EPAM Systems,"Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/ai-engineer-at-epam-systems-4402865193?position=6&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=fW8muZe48mOmYWiYxJlhfA%3D%3D,2026-06-13 05:25:53,0.1628,0
917,AI Research Engineer,Qualcomm,Ho Chi Minh City Metropolitan Area,2 weeks ago,https://www.linkedin.com/jobs/view/ai-research-engineer-at-qualcomm-4307977306?position=7&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=yofyKVCmV1Vwop1oLcgeLw%3D%3D,2026-06-13 05:25:53,0.3029,0
918,"AI Engineer, VN",V-Key - Digital Identity & Mobile App Security,"Củ Chi, Ho Chi Minh City, Vietnam",2 months ago,https://www.linkedin.com/jobs/view/ai-engineer-vn-at-v-key-digital-identity-mobile-app-security-4396303984?position=8&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=RJUSPo9QFZlgDkPA9cVs%2BA%3D%3D,2026-06-13 05:25:53,0.3262,0
919,"AI Researcher, TAO Multi-Modal Model Development",NVIDIA,"Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/ai-researcher-tao-multi-modal-model-development-at-nvidia-4414780467?position=9&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=D6iedHI7mLnzsXlYhK%2B3IQ%3D%3D,2026-06-13 05:25:53,0.2501,0
920,Generative AI Engineer (Banking AI Assistant) - From 4 Years,HCLTech Vietnam,"Ho Chi Minh City, Vietnam",N/A,https://www.linkedin.com/jobs/view/generative-ai-engineer-banking-ai-assistant-from-4-years-at-hcltech-vietnam-4426937445?position=10&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=pzAOb1Tzlt9XnTLfddPYqQ%3D%3D,2026-06-13 05:25:53,0.342,0
921,AI Engineer (Middle),Saigon Technology - Accelerate Software Development,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/ai-engineer-middle-at-saigon-technology-accelerate-software-development-4423381405?position=11&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=xJmHRKIgiedmK0q6jaY6tw%3D%3D,2026-06-13 05:25:53,0.446,0
922,AI for Engineering & QA,I-Konect Global,"Ho Chi Minh City, Vietnam",N/A,https://www.linkedin.com/jobs/view/ai-for-engineering-qa-at-i-konect-global-4426924994?position=12&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=I8tswpRMrMD950eYUH%2BKxg%3D%3D,2026-06-13 05:25:53,0.3115,0
923,AI Implementor,Sharesource,"Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/ai-implementor-at-sharesource-4424575203?position=13&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=d1%2BptH%2Bu%2Fo3nvLKvCu9iOw%3D%3D,2026-06-13 05:25:53,0.2908,0
924,Junior Software Engineer (AI/ML) - PT Lab,VNG,"Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/junior-software-engineer-ai-ml-pt-lab-at-vng-4424662119?position=14&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=91ZtfgC83tuvZONKhBiiIA%3D%3D,2026-06-13 05:25:53,0.3038,0
925,Machine Learning Engineer,Trusting Social,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",3 weeks ago,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-trusting-social-4414012253?position=15&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=S1Q%2Bl%2FF3%2Fn7qYhI7JiqE0Q%3D%3D,2026-06-13 05:25:53,0.2122,0
926,AI TECH LEAD (AI ENGINEER / AI ARCHITECT),Cube System Vietnam,"Phường Trung Mỹ Tây, Ho Chi Minh City, Vietnam",2 months ago,https://www.linkedin.com/jobs/view/ai-tech-lead-ai-engineer-ai-architect-at-cube-system-vietnam-4400356692?position=16&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=OtpyRbpNcdXvzBKT0o%2BlGw%3D%3D,2026-06-13 05:25:53,0.4077,0
927,AI Engineer (Middle/Senior),Amaris Consulting,Ho Chi Minh City Metropolitan Area,1 week ago,https://www.linkedin.com/jobs/view/ai-engineer-middle-senior-at-amaris-consulting-4414541405?position=17&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=LJiV9LaugolVniFa9c8EMA%3D%3D,2026-06-13 05:25:53,0.28,0
928,WQBRAIN AI Researcher,WorldQuant,"Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/wqbrain-ai-researcher-at-worldquant-4424178669?position=18&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=7J%2BErplVCC5tT7uKozZZGw%3D%3D,2026-06-13 05:25:53,0.4006,0
929,Machine Learning Engineer,TecAlliance,"District 3, Ho Chi Minh City, Vietnam",7 months ago,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-tecalliance-4320112642?position=19&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=Lo4ifImlpgYNobUfOJzQBQ%3D%3D,2026-06-13 05:25:53,0.1439,0
930,Generative AI Engineer (Junior - Senior),"NTT DATA, Inc.",Ho Chi Minh City Metropolitan Area,2 weeks ago,https://www.linkedin.com/jobs/view/generative-ai-engineer-junior-senior-at-ntt-data-inc-4409606578?position=20&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=PCFowy4w5JhocN6%2BwFu9Hw%3D%3D,2026-06-13 05:25:53,0.4067,0
931,Machine Learning/AI Engineer,Chợ Tốt,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 weeks ago,https://www.linkedin.com/jobs/view/machine-learning-ai-engineer-at-ch%E1%BB%A3-t%E1%BB%91t-4418574037?position=21&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=sTnQSAwJFek6fpGUpUJ8KA%3D%3D,2026-06-13 05:25:53,0.4076,0
932,Machine Learning Engineer,Trusting Social Career Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",3 weeks ago,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-trusting-social-career-page-4416369818?position=22&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=rI0cPTHcNLazZWhdQwmogg%3D%3D,2026-06-13 05:25:53,0.1675,0
933,"Software Engineer, AI Squads",Telnyx,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 weeks ago,https://www.linkedin.com/jobs/view/software-engineer-ai-squads-at-telnyx-4420651370?position=23&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=0zl09PXkyzy7CF%2BdIlug%2Fg%3D%3D,2026-06-13 05:25:53,0.3526,0
934,Data Scientist - AI Engineer - HCM,SOCOTEC,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/data-scientist-ai-engineer-hcm-at-socotec-4380085437?position=24&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=6700EzAwkzJemD5ydPx4ng%3D%3D,2026-06-13 05:25:53,0.2463,0
935,AI Engineer,dentsu,"Quận 3, Ho Chi Minh City, Vietnam",1 month ago,https://www.linkedin.com/jobs/view/ai-engineer-at-dentsu-4412630765?position=25&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=YWUdn97TiN2vIw75i2COCQ%3D%3D,2026-06-13 05:25:53,0.2411,0
936,[HCM] AI & Data Scientist (Databricks),"G.A. Consultants Vietnam Co.,Ltd","Ho Chi Minh City, Vietnam",2 days ago,https://www.linkedin.com/jobs/view/hcm-ai-data-scientist-databricks-at-g-a-consultants-vietnam-co-ltd-4426192463?position=26&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=7pDRinQh3ncUYWPB75G%2FEg%3D%3D,2026-06-13 05:25:53,0.1014,0
937,Principal AI Engineer (R&D),Glass Egg - a Virtuos Studio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/principal-ai-engineer-r-d-at-glass-egg-a-virtuos-studio-4411195138?position=27&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=tp2R3y1cUxrqlSMh7trOFg%3D%3D,2026-06-13 05:25:53,0.3876,0
938,HO - AI Engineer Expert,ACB - Asia Commercial Bank,"Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/ho-ai-engineer-expert-at-acb-asia-commercial-bank-4423407710?position=28&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=RKXgXns6zeLnh3uz%2BGly3g%3D%3D,2026-06-13 05:25:53,0.1535,0
939,AI Technical Lead,CBTW APAC,"Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/ai-technical-lead-at-cbtw-apac-4417116734?position=29&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=1OnWyWM2vQxbRZEg2G7pnA%3D%3D,2026-06-13 05:25:53,0.0326,0
940,AI Automation Engineer,AS White Global,"Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/ai-automation-engineer-at-as-white-global-4422690408?position=30&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=anp1WS9vGJMDiICGN%2BGjAg%3D%3D,2026-06-13 05:25:53,0.3694,0
941,Generative AI Engineer,SCC,Ho Chi Minh City Metropolitan Area,1 week ago,https://www.linkedin.com/jobs/view/generative-ai-engineer-at-scc-4424115966?position=31&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=puaaB1cMuNgqVBWEXdVaYA%3D%3D,2026-06-13 05:25:53,0.5914,0
942,MLOps Engineer,KNOREX,"Ho Chi Minh City, Vietnam",3 days ago,https://www.linkedin.com/jobs/view/mlops-engineer-at-knorex-4426327528?position=32&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=HYzqXrduOu08pw8TCPNJYw%3D%3D,2026-06-13 05:25:53,0.2908,0
943,AI Technical Lead,"NTT DATA, Inc.",Ho Chi Minh City Metropolitan Area,1 week ago,https://www.linkedin.com/jobs/view/ai-technical-lead-at-ntt-data-inc-4410385966?position=33&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=ogp9hblMvBtJqDbNk0HK6g%3D%3D,2026-06-13 05:25:53,0.0846,0
944,Ai/ ML Solution Architect,Noventiq Vietnam,"Củ Chi, Ho Chi Minh City, Vietnam",1 day ago,https://www.linkedin.com/jobs/view/ai-ml-solution-architect-at-noventiq-vietnam-4426240433?position=34&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=96y8kIij836xkcf68gYzAw%3D%3D,2026-06-13 05:25:53,0.5946,0
945,Senior Agentic AI engineer,SAP,Ho Chi Minh City Metropolitan Area,2 weeks ago,https://www.linkedin.com/jobs/view/senior-agentic-ai-engineer-at-sap-4415299155?position=35&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=tRuSnhsWYnMVe8mr49KcMg%3D%3D,2026-06-13 05:25:53,0.3675,0
946,Software Engineer (Edge AI Host Computer Specialist),Faraday,"Ho Chi Minh City, Vietnam",2 days ago,https://www.linkedin.com/jobs/view/software-engineer-edge-ai-host-computer-specialist-at-faraday-4426181726?position=36&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=P5Dqh6BIXPjh3GTNTHGuAQ%3D%3D,2026-06-13 05:25:53,0.2427,0
947,Data Scientist,KNOREX,"Ho Chi Minh City, Vietnam",3 days ago,https://www.linkedin.com/jobs/view/data-scientist-at-knorex-4422246884?position=37&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=qMAPNPT0Fuha%2FjYzH7S0Tg%3D%3D,2026-06-13 05:25:53,0.2159,0
948,AI Agent / Openclaw Expert,FireGroup Technology,"Ho Chi Minh City, Vietnam",3 days ago,https://www.linkedin.com/jobs/view/ai-agent-openclaw-expert-at-firegroup-technology-4425592283?position=38&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=JYNHmaUX1LXIvokJFhkPjg%3D%3D,2026-06-13 05:25:53,0.14,0
949,Senior Machine Learning Engineer (AI Research Vietnam),Qualcomm,Ho Chi Minh City Metropolitan Area,3 days ago,https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-ai-research-vietnam-at-qualcomm-4337945894?position=39&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=D9xV2kPSV3QTqapQ2AiHqA%3D%3D,2026-06-13 05:25:53,0.4137,0
950,"Software Engineer, AI Systems",Reforged Labs,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 months ago,https://www.linkedin.com/jobs/view/software-engineer-ai-systems-at-reforged-labs-4392498271?position=40&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=eN1Ply1UxcsThHOMRYZ5Hw%3D%3D,2026-06-13 05:25:53,0.3708,0
951,AI Technical Lead,bTaskee,"Ho Chi Minh City, Vietnam",2 days ago,https://www.linkedin.com/jobs/view/ai-technical-lead-at-btaskee-4426045989?position=41&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=rkBRGtIVEb3CGcxcNdnl9Q%3D%3D,2026-06-13 05:25:53,0.1317,0
952,Mid-Senior AI Engineer,Innotech Vietnam Corporation,"Dĩ An, Binh Duong, Vietnam",5 days ago,https://www.linkedin.com/jobs/view/mid-senior-ai-engineer-at-innotech-vietnam-corporation-4425067535?position=42&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=fP%2FWL6XkZH%2BS8ZAuNNCVDQ%3D%3D,2026-06-13 05:25:53,0.2787,0
953,AI MANAGER,Leman Office,"Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/ai-manager-at-leman-office-4424302113?position=43&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=9qcrXTUHhjOmJql1qjr0Ng%3D%3D,2026-06-13 05:25:53,0.2532,0
954,AI Conversational Designer,AI Rudder,"Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/ai-conversational-designer-at-ai-rudder-4354549974?position=44&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=CfWVF36HbwgMODsvF7SgtQ%3D%3D,2026-06-13 05:25:53,0.4611,0
955,Senior AI Engineer,UrBox - Digital Rewards & Loyalty Solution,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",3 months ago,https://www.linkedin.com/jobs/view/senior-ai-engineer-at-urbox-digital-rewards-loyalty-solution-4371753058?position=45&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=4CXOuZzPGmU8v0HDalVaCg%3D%3D,2026-06-13 05:25:53,0.3596,0
956,Agentic / Backend Engineer,Growtrics,"Ho Chi Minh City, Vietnam",3 weeks ago,https://www.linkedin.com/jobs/view/agentic-backend-engineer-at-growtrics-4416083971?position=46&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=dwftLMU3yGNm%2B%2FH%2FqhA%2B1w%3D%3D,2026-06-13 05:25:53,0.1516,0
957,Senior AI Engineer,AGEST Vietnam,"Quận 3, Ho Chi Minh City, Vietnam",4 days ago,https://www.linkedin.com/jobs/view/senior-ai-engineer-at-agest-vietnam-4425553820?position=47&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=zKIgjUldMPR7BCixIJMBiw%3D%3D,2026-06-13 05:25:53,0.5231,0
958,Intern AI/ML/Data Engineer,Nexlab Technology,Ho Chi Minh City Metropolitan Area,1 month ago,https://www.linkedin.com/jobs/view/intern-ai-ml-data-engineer-at-nexlab-technology-4404059557?position=48&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=rXHXiJVNOtQztqYdDaSvpQ%3D%3D,2026-06-13 05:25:53,0.8438,0
959,Senior AI Engineer,VNG,"Ho Chi Minh City, Vietnam",3 days ago,https://www.linkedin.com/jobs/view/senior-ai-engineer-at-vng-4425585854?position=49&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=p5rAHk78p6ym3vWjFUAAow%3D%3D,2026-06-13 05:25:53,0.562,0
960,DATA SCIENTIST,TC Data,Ho Chi Minh City Metropolitan Area,9 months ago,https://www.linkedin.com/jobs/view/data-scientist-at-tc-data-4295562616?position=50&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=v6AqE1WQgkKiz1kIIRkEHg%3D%3D,2026-06-13 05:25:53,0.0619,0
961,AI Transformation Consultant,Intrepid Asia,"Ho Chi Minh City, Vietnam",2 weeks ago,https://www.linkedin.com/jobs/view/ai-transformation-consultant-at-intrepid-asia-4410982681?position=51&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=K21dbKGrOvSL2%2FrFvjzJvg%3D%3D,2026-06-13 05:25:53,0.1368,0
962,Data Scientist,Motorola Solutions,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2 weeks ago,https://www.linkedin.com/jobs/view/data-scientist-at-motorola-solutions-4373554147?position=52&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=wT4QqFvQuHRIGHp4rM92ew%3D%3D,2026-06-13 05:25:53,0.0704,0
963,Senior AI Engineer,Zalopay,"Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/senior-ai-engineer-at-zalopay-4422920303?position=53&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=RT5F6HFZxlOj15u1FXgVig%3D%3D,2026-06-13 05:25:53,0.5216,0
964,AI Engineer Intern (Game Development),Gameloft Saigon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1 week ago,https://www.linkedin.com/jobs/view/ai-engineer-intern-game-development-at-gameloft-saigon-4413245567?position=54&pageNum=0&refId=5J%2BaiVO91%2FmQ7iOlCci2jQ%3D%3D&trackingId=NeVpjU%2Fk2aSrCCBX5sV%2B0w%3D%3D,2026-06-13 05:25:53,0.8843,1
